"","fips","Group.1.x","X.x","lat.x","lon.x","place_lat.x","place_lon.x","isharassment.x","propanger","propfear","propanticipation","proptrust","propsurprise","propsadness","propjoy","propdisgust","proppos","propneg","Group.1.y","X.y","lat.y","lon.y","place_lat.y","place_lon.y","isharassment.y","numanger","numfear","numanticipation","numtrust","numsurprise","numsadness","numjoy","numdisgust","numpos","numneg","numwords","numtweets"
"1817",37111,37111,407027,35.6874398043374,-82.0167755998795,NA,NA,0,0.00665225511349136,0.00782677249413761,0.0282330641685547,0.0313451162661235,0.0172230336666213,0.00803995201585563,0.0346208081968258,0.00777443774431726,0.0506604709619353,0.0110427750324293,37111,33783241,2962.05750376,-6807.39237479,NA,NA,0,8,7,25,32,15,8,29,9,51,13,1212,83
"1818",37113,37113,402910.18,35.1592519814,-83.369346487,NA,NA,0,0.0150812877054296,0.00513391928437695,0.0386438716082679,0.0280576825695953,0.00608816914080072,0.00354995778215592,0.01564817343408,0.0163955475470821,0.0378556143121024,0.0237316355777454,37113,20145509,1757.96259907,-4168.46732435,NA,NA,0,6,5,15,25,5,4,13,7,33,13,798,50
"1819",37115,37115,520722.757575758,35.827219625303,-82.5492397660606,NA,NA,0.00757575757575758,0.0111043528448856,0.0147621771961133,0.0191257888321752,0.0121070945170844,0.00813665992244191,0.0142622030185358,0.0189494835270978,0.00739062962891539,0.0345874632231642,0.0181043041734712,37115,68735404,4729.19299054,-10896.49964912,NA,NA,1,18,24,38,26,19,25,35,12,67,36,2383,132
"1820",37117,37117,572534.766666667,35.851458655,-77.0743904566667,NA,NA,0.0166666666666667,0.0237034993718399,0.013049543049543,0.00842764657805308,0.0194702373387811,0.00549710399064775,0.00871145738792798,0.0139949958954024,0.01161210612191,0.0259422049136898,0.0277868872231617,37117,34352086,2151.0875193,-4624.4634274,NA,NA,1,14,6,8,20,5,7,12,10,26,21,856,60
"1821",37119,37119,481563.007974835,35.2165377853059,-80.841413213804,NA,NA,0.0108546364804395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37119,NA,794872.47435214,-1824671.53764877,NA,NA,245,3800,3554,6339,6834,2827,3526,5716,2989,11174,7235,396703,22571
"1822",37121,37121,453423.2,35.943266722,-82.0690022795,NA,NA,0,0.00238095238095238,0.00238095238095238,0.0196553884711779,0.0291963241436926,0.00463157894736842,0.0147869674185464,0.0165238095238095,0.00263157894736842,0.0386136173767753,0.0220149733307628,37121,9068464,718.86533444,-1641.38004559,NA,NA,0,1,1,5,9,2,4,4,1,12,6,358,20
"1823",37123,37123,507226.566371681,35.4859603130089,-79.9845889097788,NA,NA,0,0.00368590809342313,0.00604809300837965,0.0225075078255743,0.0199854652886993,0.00763455174500087,0.00375049452587651,0.0283543764361544,0.00325135409370296,0.0412925611966478,0.00902567882524641,37123,114633204,8019.82703074,-18076.51709361,NA,NA,0,16,26,85,75,26,18,107,13,158,37,4578,226
"1824",37125,37125,443036.991253644,35.1942856115452,-79.4375406890087,NA,NA,0.00291545189504373,0.00825559110354891,0.0125048122733699,0.0224887411014169,0.0310734475998725,0.00954536018799018,0.00650723635097572,0.0281709448879284,0.00726774547868337,0.0479454910731659,0.0176415758228884,37125,151961688,12071.63996476,-27247.07645633,NA,NA,1,41,61,122,156,48,38,124,36,225,92,5634,343
"1825",37127,37127,449439.873699851,35.9639386865825,-77.8305432021843,NA,NA,0.0163447251114413,0.0115597758966372,0.0101486373784136,0.0165792852430745,0.0222709729767001,0.00675871298123282,0.00929958705630895,0.0181636300118078,0.0109976868335431,0.037269982498559,0.0212305036238659,37127,302473035,24203.73073607,-52379.95557507,NA,NA,11,122,111,183,233,82,103,156,109,363,211,13966,673
"1826",37129,37129,507676.779714738,34.2022937274326,-77.888156573336,NA,NA,0.00713153724247227,0.00837058279186328,0.00923486130529392,0.0158072059478563,0.0193489311074049,0.00759111018483872,0.00840649229921989,0.017589695636303,0.00672333922388751,0.034839556554789,0.0177863944583286,37129,640688096,43163.29468402,-98294.85359555,NA,NA,9,150,174,328,404,152,168,358,127,704,321,23043,1262
"1827",37131,37131,259798.727272727,36.4641343272727,-77.5734297454545,NA,NA,0,0,0,0.0192627494456763,0.0394385026737968,0,0,0.0227272727272727,0.00284090909090909,0.0369318181818182,0.00284090909090909,37131,2857786,401.1054776,-853.3077272,NA,NA,0,0,0,6,8,0,0,5,1,8,1,249,11
"1828",37133,37133,397072.704595186,34.7418651926696,-77.3480746833479,NA,NA,0.0087527352297593,0.00797517347429179,0.00777278268388286,0.0300037795293423,0.0391578825997352,0.0271961693660563,0.00842024646353226,0.0373982688779439,0.00891353479407526,0.0520037543020398,0.0179572094631566,37133,181462226,15877.03239305,-35348.07013029,NA,NA,4,64,58,143,216,101,64,165,62,283,133,7870,457
"1829",37135,37135,427282.349514563,35.9283978352508,-79.0432780679126,NA,NA,0.0040453074433657,0.0108656827263288,0.0113258102330457,0.0207189555066855,0.0221022422790862,0.0100117089647827,0.0108759346452119,0.0196630571993933,0.00937406475115294,0.0369398497526555,0.0203448722876798,37135,1056241968,88814.99944874,-195394.98338388,NA,NA,10,358,383,754,798,351,374,669,305,1328,717,40862,2472
"1830",37137,37137,916455,35.1404424,-76.842436,NA,NA,0,0,0,0,0.0571895424836601,0,0,0,0,0.0571895424836601,0,37137,1832910,70.2808848,-153.684872,NA,NA,0,0,0,0,2,0,0,0,0,2,0,35,2
"1831",37139,37139,433318.062091503,36.2982167535294,-76.2319137013399,NA,NA,0.0196078431372549,0.0103421011892124,0.00712140583985473,0.0167703577187937,0.0188677411179355,0.00882362406608194,0.00861847288853087,0.0133213225989969,0.00782866382026409,0.0306593271469692,0.0182720537255082,37139,132595327,11107.25432658,-23326.96559261,NA,NA,6,41,35,74,79,31,37,63,31,124,85,6203,306
"1832",37141,37141,464949.871794872,34.4240064884615,-77.7269600457692,NA,NA,0,0.00528852265837392,0.00406343513465939,0.0120162125823769,0.0130976024568702,0.00338082969661917,0.00339557941927683,0.023227104030073,0.00640537314001569,0.037426402717688,0.0132751036306976,37141,36266090,2685.0725061,-6062.70288357,NA,NA,0,7,7,17,20,6,6,18,9,40,18,1429,78
